msa,base,action,mil_out,civ_out,mil_in,civ_in,mil_net,civ_net,net_contractor,direct,indirect,total_job_changes,ea_employment,changes_as_percent_of_employment
"Des Moines, IA Metropolitan Statistical Area","Armed Forces Reserve Center Camp Dodge",Realign,-217,-1,0,0,-217,-1,0,-218,-84,-302,362215,-0.1%
"Detroit-Livonia-Dearborn, MI Metropolitan Division","Detroit Arsenal",Gain,-4,-104,4,751,0,647,0,647,407,1054,994108,0.1%
"Dover, DE Metropolitan Statistical Area","Dover Air Force Base",Gain,0,0,115,133,115,133,0,248,254,502,74718,0.7%
"Dubuque, IA Metropolitan Statistical Area","Navy-Marine Corps Reserve Center Dubuque",Close,-19,-5,0,0,-19,-5,0,-24,-8,-32,62005,-0.1%
"Duluth, MN-WI Metropolitan Statistical Area","Navy Reserve Center Duluth",Close,-8,0,0,0,-8,0,0,-8,-2,-10,157359,0.0%
"Durham, NC Metropolitan Statistical Area","Army Research Office, Durham",Realign,-1,-113,0,0,-1,-113,0,-114,-67,-181,319576,-0.1%
"Edison, NJ Metropolitan Division","Fort Monmouth",Close,-620,-4652,0,0,-620,-4652,0,-5272,-4465,-9737,1220335,-0.8%
"Edison, NJ Metropolitan Division","Kilmer U.S. Army Reserve Center, Edison",Close,-23,-21,0,0,-23,-21,0,-44,-31,-75,1220335,0.0%
"Edison, NJ Metropolitan Division","Naval Air Engineering Station Lakehurst",Realign,-132,-54,0,0,-132,-54,0,-186,-123,-309,1220335,0.0%
"Edison, NJ Metropolitan Division","Naval Weapons Station Earle",Realign,0,-63,2,0,2,-63,0,-61,-54,-115,1220335,0.0%
"El Dorado, AR Micropolitan Statistical Area","El Dorado Armed Forces Reserve Center",Close,-24,0,0,0,-24,0,0,-24,-12,-36,29093,-0.1%
"El Paso, TX Metropolitan Statistical Area","El Paso",Close,-106,0,0,0,-106,0,0,-106,-81,-187,328741,-0.1%
"El Paso, TX Metropolitan Statistical Area","Fort Bliss",Gain,-4564,-223,15918,370,11354,147,0,11501,8882,20383,328741,6.2%
"Elizabethtown, KY Metropolitan Statistical Area","Fort Knox",Realign,-10159,-772,5292,2511,-4867,1739,184,-2944,8,-2936,65926,-4.5%
"Elmira, NY Metropolitan Statistical Area","Navy Reserve Center Horsehead",Close,-7,0,0,0,-7,0,0,-7,-6,-13,50494,0.0%
"Enid, OK Micropolitan Statistical Area","Vance Air Force Base",Gain,0,0,93,6,93,6,0,99,94,193,34406,0.6%
